Entry	Reviewed	Entry Name	Protein names	Gene Names	Gene Names (ordered locus)	Organism	Length	Gene Ontology IDs	Transmembrane	Intramembrane
P73448	reviewed	NARB_SYNY3	Nitrate reductase (EC 1.7.5.1)	narB sll1454	sll1454	Synechocystis sp. (strain PCC 6803 / Kazusa)	714	GO:0009055; GO:0009061; GO:0019333; GO:0030151; GO:0042128; GO:0043546; GO:0051539		
P73526	reviewed	QUEG_SYNY3	Epoxyqueuosine reductase (EC 1.17.99.6) (Queuosine biosynthesis protein QueG)	queG sll1348	sll1348	Synechocystis sp. (strain PCC 6803 / Kazusa)	289	GO:0005737; GO:0008033; GO:0008616; GO:0046872; GO:0051539; GO:0052693		
P73530	reviewed	RS1A_SYNY3	Small ribosomal subunit protein bS1A (30S ribosomal protein S1 A)	rps1A slr1356	slr1356	Synechocystis sp. (strain PCC 6803 / Kazusa)	328	GO:0003729; GO:0003735; GO:0005840; GO:0006412; GO:1990904		
P73655	reviewed	SYW_SYNY3	Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	trpS slr1884	slr1884	Synechocystis sp. (strain PCC 6803 / Kazusa)	337	GO:0004830; GO:0005524; GO:0005737; GO:0006436		
P73668	reviewed	MURD_SYNY3	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	murD sll2010	sll2010	Synechocystis sp. (strain PCC 6803 / Kazusa)	452	GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008764; GO:0009252; GO:0051301; GO:0071555		
P73689	reviewed	SPPA_SYNY3	Protease 4 (EC 3.4.21.-) (Endopeptidase IV) (Protease IV homolog) (Signal peptide peptidase)	sppA sll1703	sll1703	Synechocystis sp. (strain PCC 6803 / Kazusa)	610	GO:0005886; GO:0006465; GO:0008236	TRANSMEM 17..37; /note="Helical"; /evidence="ECO:0000255"	
P73715	reviewed	END3_SYNY3	Endonuclease III (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase)	nth slr1822	slr1822	Synechocystis sp. (strain PCC 6803 / Kazusa)	219	GO:0003677; GO:0006285; GO:0019104; GO:0046872; GO:0051539; GO:0140078		
P73728	reviewed	PRX5_SYNY3	Peroxiredoxin sll1621 (Prx) (EC 1.11.1.27) (Glutathione-dependent peroxiredoxin)	sll1621	sll1621	Synechocystis sp. (strain PCC 6803 / Kazusa)	189	GO:0005737; GO:0008379; GO:0034599; GO:0042744; GO:0042802; GO:0045454		
P73755	reviewed	MNMA_SYNY3	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	mnmA trmU sll0844	sll0844	Synechocystis sp. (strain PCC 6803 / Kazusa)	358	GO:0000049; GO:0002143; GO:0005524; GO:0005737; GO:0016783		
P73807	reviewed	HIS8_SYNY3	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	hisC sll1958	sll1958	Synechocystis sp. (strain PCC 6803 / Kazusa)	349	GO:0000105; GO:0004400; GO:0030170		
P73833	reviewed	CPHA_SYNY3	Cyanophycin synthetase (EC 6.3.2.29) (EC 6.3.2.30) (Cyanophycin synthase)	cphA slr2002	slr2002	Synechocystis sp. (strain PCC 6803 / Kazusa)	873	GO:0005524; GO:0009059; GO:0046872; GO:0071160; GO:0071161		
P73922	reviewed	FBSB_SYNY3	D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase (FBPase class 2/SBPase) (EC 3.1.3.11) (EC 3.1.3.37)	slr2094	slr2094	Synechocystis sp. (strain PCC 6803 / Kazusa)	345	GO:0006071; GO:0006094; GO:0019253; GO:0030388; GO:0042132; GO:0046872; GO:0050278		
P73933	reviewed	PLSY_SYNY3	Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.275) (Lysophosphatidic acid synthase) (LPA synthase)	plsY sll1973	sll1973	Synechocystis sp. (strain PCC 6803 / Kazusa)	222	GO:0005886; GO:0008654; GO:0043772	TRANSMEM 4..24; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_01043"; TRANSMEM 56..76; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_01043"; TRANSMEM 87..107; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_01043"; TRANSMEM 130..150; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_01043"; TRANSMEM 153..173; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_01043"; TRANSMEM 174..191; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_01043"	
P73950	reviewed	PLSX_SYNY3	Phosphate acyltransferase (EC 2.3.1.274) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)	plsX slr1510	slr1510	Synechocystis sp. (strain PCC 6803 / Kazusa)	348	GO:0005737; GO:0006633; GO:0008654; GO:0043811		
P73960	reviewed	LEU3_SYNY3	3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH)	leuB slr1517	slr1517	Synechocystis sp. (strain PCC 6803 / Kazusa)	362	GO:0000287; GO:0003862; GO:0005829; GO:0009098; GO:0051287		
P74067	reviewed	PSB34_SYNY3	Photosystem II assembly protein Psb34	psb34 ssl1498	ssl1498	Synechocystis sp. (strain PCC 6803 / Kazusa)	61	GO:0010207; GO:0016020	TRANSMEM 36..56; /note="Helical"; /evidence="ECO:0000255"	
P74111	reviewed	CIKA_SYNY3	Circadian input-output histidine kinase CikA (EC 2.7.13.3)	cikA slr1969	slr1969	Synechocystis sp. (strain PCC 6803 / Kazusa)	750	GO:0000155; GO:0005524; GO:0007049; GO:0048511; GO:0051301		
P74167	reviewed	MGDE_SYNY3	Monoglucosyldiacylglycerol epimerase (GlcDG epimerase) (EC 5.1.3.34)	MgdE sll1376	sll1376	Synechocystis sp. (strain PCC 6803 / Kazusa)	410	GO:0006071; GO:0006629; GO:0015979; GO:0016020; GO:0016857	TRANSMEM 71..91; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 96..116; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 380..400; /note="Helical"; /evidence="ECO:0000255"	
P74177	reviewed	RPOC1_SYNY3	DNA-directed RNA polymerase subunit gamma (RNAP subunit gamma) (EC 2.7.7.6) (RNA polymerase subunit gamma) (Transcriptase subunit gamma)	rpoC1 slr1265	slr1265	Synechocystis sp. (strain PCC 6803 / Kazusa)	626	GO:0000287; GO:0000428; GO:0003677; GO:0003899; GO:0006351; GO:0008270		
P74199	reviewed	HIK34_SYNY3	Sensor histidine kinase Hik34 (EC 2.7.13.3)	hik34 slr1285	slr1285	Synechocystis sp. (strain PCC 6803 / Kazusa)	464	GO:0000155		
P74211	reviewed	PDXH_SYNY3	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase)	pdxH fprA sll1440	sll1440	Synechocystis sp. (strain PCC 6803 / Kazusa)	214	GO:0004733; GO:0008615; GO:0010181; GO:0042823		
P74232	reviewed	PUR2_SYNY3	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase)	purD slr1159	slr1159	Synechocystis sp. (strain PCC 6803 / Kazusa)	419	GO:0004637; GO:0005524; GO:0006189; GO:0009113; GO:0046872		
P74292	reviewed	NADE_SYNY3	Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing])	nadE slr1691	slr1691	Synechocystis sp. (strain PCC 6803 / Kazusa)	558	GO:0003952; GO:0004359; GO:0005524; GO:0005737; GO:0008795; GO:0009435		
P74330	reviewed	SYC_SYNY3	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	cysS slr0958	slr0958	Synechocystis sp. (strain PCC 6803 / Kazusa)	483	GO:0004817; GO:0004825; GO:0005524; GO:0005737; GO:0006423; GO:0006431; GO:0008270		
P74342	reviewed	FOLB_SYNY3	Probable dihydroneopterin aldolase (DHNA) (EC 4.1.2.25) (7,8-dihydroneopterin aldolase)	folB slr1626	slr1626	Synechocystis sp. (strain PCC 6803 / Kazusa)	118	GO:0004150; GO:0005737; GO:0046654; GO:0046656		
P74393	reviewed	NHAS2_SYNY3	Na(+)/H(+) antiporter NhaS2 (Sodium/proton antiporter NhaS2)	nhaS2 sll0273	sll0273	Synechocystis sp. (strain PCC 6803 / Kazusa)	540	GO:0005886; GO:0015385; GO:0015386; GO:0051453; GO:0071805; GO:0098719	TRANSMEM 29..49; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 71..91; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 117..137; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 138..158; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 207..227; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 256..276; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 296..316; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 323..343; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 358..378; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 389..409; /note="Helical"; /evidence="ECO:0000255"	
P74459	reviewed	CLPB1_SYNY3	Chaperone protein ClpB 1	clpB1 slr0156	slr0156	Synechocystis sp. (strain PCC 6803 / Kazusa)	898	GO:0005524; GO:0005737; GO:0016887; GO:0034605; GO:0042026		
P74467	reviewed	CLPP3_SYNY3	Probable ATP-dependent Clp protease proteolytic subunit 3 (EC 3.4.21.92) (Endopeptidase Clp 3)	clpP3 slr0165	slr0165	Synechocystis sp. (strain PCC 6803 / Kazusa)	202	GO:0004176; GO:0004252; GO:0005737; GO:0006515; GO:0009368; GO:0051117		
P74519	reviewed	LIPB_SYNY3	Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)	lipB slr0994	slr0994	Synechocystis sp. (strain PCC 6803 / Kazusa)	227	GO:0005737; GO:0033819; GO:0036211		
P74521	reviewed	GLGA1_SYNY3	Glycogen synthase 1 (EC 2.4.1.21) (Starch [bacterial glycogen] synthase 1)	glgA1 glgA sll0945	sll0945	Synechocystis sp. (strain PCC 6803 / Kazusa)	477	GO:0004373; GO:0005978; GO:0009011; GO:0033201		
P74578	reviewed	NADA_SYNY3	Quinolinate synthase (EC 2.5.1.72)	nadA sll0622	sll0622	Synechocystis sp. (strain PCC 6803 / Kazusa)	318	GO:0005829; GO:0008987; GO:0034628; GO:0046872; GO:0051539		
P74618	reviewed	6PGL_SYNY3	6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	pgl devB sll1479	sll1479	Synechocystis sp. (strain PCC 6803 / Kazusa)	240	GO:0005829; GO:0005975; GO:0009051; GO:0017057		
P74657	reviewed	MURG_SYNY3	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG slr1656	slr1656	Synechocystis sp. (strain PCC 6803 / Kazusa)	355	GO:0005886; GO:0005975; GO:0007049; GO:0008360; GO:0009252; GO:0016757; GO:0030259; GO:0050511; GO:0051301; GO:0051991; GO:0071555		
P74709	reviewed	SURE_SYNY3	5'-nucleotidase SurE (EC 3.1.3.5) (Nucleoside 5'-monophosphate phosphohydrolase)	surE sll1108	sll1108	Synechocystis sp. (strain PCC 6803 / Kazusa)	275	GO:0000166; GO:0004309; GO:0005737; GO:0008253; GO:0008254; GO:0046872; GO:0106411		
P77965	reviewed	RPOB_SYNY3	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB sll1787	sll1787	Synechocystis sp. (strain PCC 6803 / Kazusa)	1102	GO:0000428; GO:0003677; GO:0003899; GO:0006351; GO:0032549		
P77969	reviewed	HEM2_SYNY3	Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	hemB sll1994	sll1994	Synechocystis sp. (strain PCC 6803 / Kazusa)	327	GO:0004655; GO:0005829; GO:0006782; GO:0006783; GO:0008270		
Q55005	reviewed	RNPA_SYNY3	Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)	rnpA slr1469	slr1469	Synechocystis sp. (strain PCC 6803 / Kazusa)	124	GO:0000049; GO:0001682; GO:0004526; GO:0030677; GO:0042781		
Q55170	reviewed	UVRB_SYNY3	UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B)	uvrB sll0459	sll0459	Synechocystis sp. (strain PCC 6803 / Kazusa)	669	GO:0003677; GO:0005524; GO:0005737; GO:0006289; GO:0009380; GO:0009381; GO:0009432; GO:0016887		
Q55369	reviewed	MOAA_SYNY3	GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A)	moaA slr0901	slr0901	Synechocystis sp. (strain PCC 6803 / Kazusa)	327	GO:0005525; GO:0006777; GO:0019008; GO:0046872; GO:0051539; GO:0061798; GO:0061799; GO:1904047		
Q55428	reviewed	CATNT_SYNY3	CC-adding tRNA nucleotidyltransferase (C-adding TNT) (EC 2.7.7.-) (CC-adding enzyme)	sll0825	sll0825	Synechocystis sp. (strain PCC 6803 / Kazusa)	416	GO:0000049; GO:0000166; GO:0008033; GO:0031123; GO:0046872; GO:0052927		
Q55429	reviewed	NU5C_SYNY3	NAD(P)H-quinone oxidoreductase chain 5 (EC 7.1.1.-) (NAD(P)H dehydrogenase I, chain 5) (NDH-1, chain 5)	ndhF slr0844	slr0844	Synechocystis sp. (strain PCC 6803 / Kazusa)	681	GO:0003954; GO:0005886; GO:0008137; GO:0015990; GO:0042773; GO:0048038	TRANSMEM 7..27; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 39..59; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 89..109; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 120..140; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 144..164; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 188..208; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 219..239; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 258..278; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 289..309; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 327..347; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 352..372; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 395..415; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 420..440; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 509..529; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 558..578; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 660..680; /note="Helical"; /evidence="ECO:0000255"	
Q55450	reviewed	GATC_SYNY3	Glutamyl-tRNA(Gln) amidotransferase subunit C (Glu-ADT subunit C) (EC 6.3.5.-)	gatC slr0033	slr0033	Synechocystis sp. (strain PCC 6803 / Kazusa)	104	GO:0005524; GO:0006412; GO:0006450; GO:0050566; GO:0050567; GO:0070681		
Q55471	reviewed	GGTB_SYNY3	Osmoprotective compounds-binding protein GgtB	ggtB slr0529	slr0529	Synechocystis sp. (strain PCC 6803 / Kazusa)	421	GO:0005886; GO:0008643		
Q55472	reviewed	GGTC_SYNY3	Osmoprotective compounds uptake permease protein GgtC	ggtC slr0530	slr0530	Synechocystis sp. (strain PCC 6803 / Kazusa)	279	GO:0005886; GO:0008643; GO:0055085	TRANSMEM 7..27; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 58..78; /note="Helical"; /evidence="ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441"; TRANSMEM 90..110; /note="Helical"; /evidence="ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441"; TRANSMEM 120..140; /note="Helical"; /evidence="ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441"; TRANSMEM 146..166; /note="Helical"; /evidence="ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441"; TRANSMEM 202..222; /note="Helical"; /evidence="ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441"; TRANSMEM 247..267; /note="Helical"; /evidence="ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441"	
Q55506	reviewed	RUVC_SYNY3	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)	ruvC sll0896	sll0896	Synechocystis sp. (strain PCC 6803 / Kazusa)	167	GO:0000287; GO:0003677; GO:0005737; GO:0006281; GO:0006310; GO:0008821; GO:0048476		
Q55513	reviewed	DAPA_SYNY3	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	dapA slr0550	slr0550	Synechocystis sp. (strain PCC 6803 / Kazusa)	301	GO:0005829; GO:0008840; GO:0009089; GO:0019877		
Q55515	reviewed	COAE_SYNY3	Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase)	coaE slr0553	slr0553	Synechocystis sp. (strain PCC 6803 / Kazusa)	201	GO:0004140; GO:0005524; GO:0005737; GO:0015937; GO:0016310		
Q55607	reviewed	CHLB_SYNY3	Light-independent protochlorophyllide reductase subunit B (DPOR subunit B) (LI-POR subunit B) (EC 1.3.7.7)	chlB slr0772	slr0772	Synechocystis sp. (strain PCC 6803 / Kazusa)	508	GO:0005524; GO:0016636; GO:0016730; GO:0019685; GO:0036068; GO:0046872; GO:0051539		
Q55663	reviewed	DXR_SYNY3	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)	dxr sll0019	sll0019	Synechocystis sp. (strain PCC 6803 / Kazusa)	394	GO:0030145; GO:0030604; GO:0051484; GO:0070402		
Q55664	reviewed	ALF2_SYNY3	Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)	fbaA fda sll0018	sll0018	Synechocystis sp. (strain PCC 6803 / Kazusa)	359	GO:0004332; GO:0006096; GO:0008270		
Q55714	reviewed	COBS_SYNY3	Adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26) (Cobalamin synthase) (Cobalamin-5'-phosphate synthase)	cobS slr0636	slr0636	Synechocystis sp. (strain PCC 6803 / Kazusa)	260	GO:0005886; GO:0008818; GO:0009236; GO:0051073	TRANSMEM 7..27; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_00719"; TRANSMEM 45..65; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_00719"; TRANSMEM 117..137; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_00719"; TRANSMEM 145..165; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_00719"; TRANSMEM 187..207; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_00719"; TRANSMEM 210..230; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_00719"	
Q55729	reviewed	SYM_SYNY3	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG metS slr0649	slr0649	Synechocystis sp. (strain PCC 6803 / Kazusa)	532	GO:0004825; GO:0005524; GO:0005737; GO:0006431; GO:0046872		
Q55750	reviewed	MFD_SYNY3	Transcription-repair-coupling factor (TRCF) (EC 3.6.4.-)	mfd sll0377	sll0377	Synechocystis sp. (strain PCC 6803 / Kazusa)	1199	GO:0000716; GO:0003677; GO:0003684; GO:0004386; GO:0005524; GO:0005737; GO:0006355; GO:0015616; GO:0016787; GO:0043175		
Q55797	reviewed	GMHA_SYNY3	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA sll0083	sll0083	Synechocystis sp. (strain PCC 6803 / Kazusa)	194	GO:0005737; GO:0005975; GO:0008270; GO:0008968; GO:0097367; GO:2001061		
Q55828	reviewed	DAPAT_SYNY3	LL-diaminopimelate aminotransferase (DAP-AT) (DAP-aminotransferase) (LL-DAP-aminotransferase) (EC 2.6.1.83)	dapL sll0480	sll0480	Synechocystis sp. (strain PCC 6803 / Kazusa)	412	GO:0010285; GO:0030170; GO:0033362		
Q55849	reviewed	BIOD_SYNY3	ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase)	bioD slr0523	slr0523	Synechocystis sp. (strain PCC 6803 / Kazusa)	237	GO:0000287; GO:0004141; GO:0005524; GO:0005829; GO:0009102		
Q55940	reviewed	ZIAR_SYNY3	Transcriptional repressor SmtB homolog	ziaR smtB sll0792	sll0792	Synechocystis sp. (strain PCC 6803 / Kazusa)	132	GO:0003677; GO:0003700; GO:0046872		
Q55983	reviewed	TGT_SYNY3	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt slr0713	slr0713	Synechocystis sp. (strain PCC 6803 / Kazusa)	374	GO:0002099; GO:0005737; GO:0005829; GO:0008479; GO:0008616; GO:0046872; GO:0101030		
Q57417	reviewed	ACCD_SYNY3	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD zfpA sll0336	sll0336	Synechocystis sp. (strain PCC 6803 / Kazusa)	326	GO:0003989; GO:0005524; GO:0006633; GO:0008270; GO:0009317; GO:0016743; GO:2001295		
Q59987	reviewed	POR_SYNY3	Light-dependent protochlorophyllide reductase (PCR) (EC 1.3.1.33) (NADPH-protochlorophyllide oxidoreductase) (LPOR) (POR)	por pcr slr0506	slr0506	Synechocystis sp. (strain PCC 6803 / Kazusa)	322	GO:0015979; GO:0015995; GO:0016630		
Q59994	reviewed	TPIS_SYNY3	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	tpiA tpi slr0783	slr0783	Synechocystis sp. (strain PCC 6803 / Kazusa)	242	GO:0004807; GO:0005829; GO:0006094; GO:0006096; GO:0019563; GO:0046166		
Q79EE4	reviewed	GGTA_SYNY3	Osmoprotective compounds uptake ATP-binding protein GgtA (EC 7.5.2.-)	ggtA slr0747	slr0747	Synechocystis sp. (strain PCC 6803 / Kazusa)	363	GO:0005524; GO:0008643; GO:0016887; GO:0055052; GO:0140359		
P22040	reviewed	Y415_SYNY3	Uncharacterized ABC transporter ATP-binding protein sll0415	sll0415	sll0415	Synechocystis sp. (strain PCC 6803 / Kazusa)	354	GO:0005524; GO:0016887		
P36265	reviewed	NUSG_SYNY3	Transcription termination/antitermination protein NusG	nusG sll1742	sll1742	Synechocystis sp. (strain PCC 6803 / Kazusa)	205	GO:0005829; GO:0006353; GO:0031564; GO:0032784; GO:0140673		
P52232	reviewed	THIO1_SYNY3	Thioredoxin-like protein slr0233	slr0233	slr0233	Synechocystis sp. (strain PCC 6803 / Kazusa)	105	GO:0005737; GO:0005829; GO:0015035; GO:0045454		
P53383	reviewed	APBC_SYNY3	Iron-sulfur cluster carrier protein	mrp slr0067	slr0067	Synechocystis sp. (strain PCC 6803 / Kazusa)	353	GO:0005524; GO:0016226; GO:0016887; GO:0046872; GO:0051539; GO:0140663		
P72652	reviewed	CPCF_SYNY3	Phycocyanin alpha phycocyanobilin lyase CpcF	cpcF sll1051	sll1051	Synechocystis sp. (strain PCC 6803 / Kazusa)	214	GO:0016829; GO:0030089		
P72686	reviewed	PHOU_SYNY3	Phosphate-specific transport system accessory protein PhoU homolog (Pst system accessory protein PhoU homolog)	phoU slr0741	slr0741	Synechocystis sp. (strain PCC 6803 / Kazusa)	224	GO:0005737; GO:0006817; GO:0030643; GO:0042803; GO:0045936; GO:2000186		
P72711	reviewed	CBIJ_SYNY3	Cobalt-precorrin-6A reductase (EC 1.3.1.106)	cbiJ cobK slr0252	slr0252	Synechocystis sp. (strain PCC 6803 / Kazusa)	261	GO:0009236; GO:0016994		
P72717	reviewed	PETN_SYNY3	Cytochrome b6-f complex subunit 8 (Cytochrome b6-f complex subunit PetN) (Cytochrome b6-f complex subunit VIII)	petN sml0004	sml0004	Synechocystis sp. (strain PCC 6803 / Kazusa)	29	GO:0009512; GO:0015979; GO:0017004; GO:0031676; GO:0045158	TRANSMEM 3..23; /note="Helical"; /evidence="ECO:0000255"	
P72818	reviewed	MENG_SYNY3	2-phytyl-1,4-naphtoquinone methyltransferase (EC 2.1.1.329) (Demethylphylloquinone methyltransferase)	menG sll1653	sll1653	Synechocystis sp. (strain PCC 6803 / Kazusa)	238	GO:0008168; GO:0008757; GO:0032259; GO:0042372; GO:0052624		
P72835	reviewed	Y1300_SYNY3	Uncharacterized protein slr1300	slr1300	slr1300	Synechocystis sp. (strain PCC 6803 / Kazusa)	414	GO:0006744; GO:0016491; GO:0016709; GO:0071949		
P72846	reviewed	LGT_SYNY3	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase (EC 2.5.1.145)	lgt sll1187	sll1187	Synechocystis sp. (strain PCC 6803 / Kazusa)	283	GO:0005886; GO:0008961; GO:0042158	TRANSMEM 20..40; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_01147"; TRANSMEM 60..80; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_01147"; TRANSMEM 94..114; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_01147"; TRANSMEM 121..141; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_01147"; TRANSMEM 183..203; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_01147"; TRANSMEM 214..234; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_01147"; TRANSMEM 248..268; /note="Helical"; /evidence="ECO:0000255|HAMAP-Rule:MF_01147"	
P72934	reviewed	PYRX_SYNY3	Probable dihydroorotase-like protein (Aspartate carbamoyltransferase 42 kDa non-catalytic chain)	pyrC' sll1018	sll1018	Synechocystis sp. (strain PCC 6803 / Kazusa)	441	GO:0004038; GO:0004151; GO:0005737; GO:0006145; GO:0006221; GO:0046872		
P73068	reviewed	RUBR_SYNY3	Rubredoxin (Rd)	rub slr2033	slr2033	Synechocystis sp. (strain PCC 6803 / Kazusa)	115	GO:0005506		
P73123	reviewed	RBCR_SYNY3	Probable RuBisCO transcriptional regulator	rbcR sll0998	sll0998	Synechocystis sp. (strain PCC 6803 / Kazusa)	345	GO:0000976; GO:0003700; GO:0006355		
P73125	reviewed	Y1019_SYNY3	Uncharacterized isomerase slr1019 (EC 5.1.-.-)	slr1019	slr1019	Synechocystis sp. (strain PCC 6803 / Kazusa)	306	GO:0005737; GO:0009058; GO:0016853		
P73163	reviewed	DLHH_SYNY3	Putative carboxymethylenebutenolidase (EC 3.1.1.45) (Dienelactone hydrolase) (DLH)	sll1298	sll1298	Synechocystis sp. (strain PCC 6803 / Kazusa)	246	GO:0008806		
